,precision,recall,f1-score,support
119,0.5892857142857143,0.66,0.6226415094339622,50.0
120,0.5957446808510638,0.56,0.5773195876288659,50.0
121,0.8297872340425532,0.78,0.8041237113402062,50.0
122,0.5614035087719298,0.64,0.5981308411214953,50.0
123,0.5522388059701493,0.74,0.6324786324786325,50.0
124,0.7014925373134329,0.94,0.8034188034188035,50.0
125,0.6530612244897959,0.64,0.6464646464646465,50.0
126,0.7543859649122807,0.86,0.8037383177570093,50.0
127,0.6792452830188679,0.72,0.6990291262135923,50.0
128,0.5373134328358209,0.72,0.6153846153846154,50.0
129,0.7142857142857143,0.8,0.7547169811320755,50.0
130,0.7674418604651163,0.66,0.7096774193548387,50.0
131,0.4375,0.42,0.42857142857142855,50.0
132,0.4528301886792453,0.48,0.46601941747572817,50.0
133,0.8541666666666666,0.82,0.8367346938775511,50.0
134,0.7727272727272727,0.68,0.723404255319149,50.0
135,0.46938775510204084,0.46,0.46464646464646464,50.0
136,0.78,0.78,0.78,50.0
137,0.6481481481481481,0.7,0.6730769230769231,50.0
138,0.7,0.56,0.6222222222222222,50.0
139,0.5833333333333334,0.56,0.5714285714285714,50.0
140,0.7045454545454546,0.62,0.6595744680851063,50.0
141,0.6551724137931034,0.76,0.7037037037037037,50.0
142,0.6785714285714286,0.76,0.7169811320754716,50.0
143,0.8627450980392157,0.88,0.8712871287128713,50.0
144,0.6938775510204082,0.68,0.6868686868686869,50.0
145,0.8,0.96,0.8727272727272727,50.0
146,0.84,0.84,0.84,50.0
147,0.660377358490566,0.7,0.6796116504854369,50.0
148,0.9090909090909091,0.6,0.7228915662650602,50.0
149,0.7090909090909091,0.78,0.7428571428571429,50.0
150,0.717391304347826,0.66,0.6875,50.0
151,0.5454545454545454,0.6,0.5714285714285714,50.0
152,0.8372093023255814,0.72,0.7741935483870968,50.0
153,0.6271186440677966,0.74,0.6788990825688074,50.0
154,0.7454545454545455,0.82,0.780952380952381,50.0
155,0.7254901960784313,0.74,0.7326732673267327,50.0
156,0.6470588235294118,0.66,0.6534653465346535,50.0
157,0.6923076923076923,0.72,0.7058823529411765,50.0
158,0.4666666666666667,0.56,0.509090909090909,50.0
159,0.5333333333333333,0.32,0.4,50.0
160,0.7169811320754716,0.76,0.7378640776699029,50.0
161,0.7115384615384616,0.74,0.7254901960784313,50.0
162,0.7647058823529411,0.78,0.7722772277227723,50.0
163,0.7804878048780488,0.64,0.7032967032967034,50.0
164,0.7592592592592593,0.82,0.7884615384615384,50.0
165,0.9387755102040817,0.92,0.9292929292929293,50.0
166,0.9583333333333334,0.92,0.9387755102040817,50.0
167,0.5714285714285714,0.72,0.6371681415929203,50.0
168,0.7419354838709677,0.46,0.5679012345679012,50.0
169,0.7777777777777778,0.7,0.7368421052631579,50.0
170,0.8085106382978723,0.76,0.7835051546391752,50.0
171,0.75,0.84,0.7924528301886793,50.0
172,0.5098039215686274,0.52,0.5148514851485149,50.0
173,0.8775510204081632,0.86,0.8686868686868687,50.0
174,0.673469387755102,0.66,0.6666666666666666,50.0
175,0.47058823529411764,0.48,0.4752475247524752,50.0
176,0.875,0.84,0.8571428571428571,50.0
177,0.4050632911392405,0.64,0.49612403100775193,50.0
178,0.8372093023255814,0.72,0.7741935483870968,50.0
179,0.49122807017543857,0.56,0.5233644859813084,50.0
180,0.58,0.58,0.58,50.0
181,0.8444444444444444,0.76,0.8,50.0
182,0.7419354838709677,0.46,0.5679012345679012,50.0
183,0.7894736842105263,0.6,0.6818181818181818,50.0
184,0.7818181818181819,0.86,0.819047619047619,50.0
185,0.7843137254901961,0.8,0.7920792079207921,50.0
186,0.7551020408163265,0.74,0.7474747474747475,50.0
187,0.825,0.66,0.7333333333333333,50.0
188,0.6101694915254238,0.72,0.6605504587155964,50.0
189,0.9130434782608695,0.84,0.875,50.0
190,0.62,0.62,0.62,50.0
191,0.7678571428571429,0.86,0.8113207547169812,50.0
192,0.74,0.74,0.74,50.0
193,0.86,0.86,0.86,50.0
194,0.8125,0.78,0.7959183673469388,50.0
195,0.5882352941176471,0.6,0.594059405940594,50.0
196,0.6724137931034483,0.78,0.7222222222222222,50.0
197,0.37037037037037035,0.6,0.4580152671755725,50.0
198,0.5538461538461539,0.72,0.6260869565217392,50.0
199,0.7391304347826086,0.68,0.7083333333333334,50.0
accuracy,0.7194,0.7194,0.7194,0.7194
macro avg,0.7289379296631127,0.7194000000000002,0.7200151688958734,10000.0
weighted avg,0.7289379296631127,0.7194,0.7200151688958732,10000.0
